"timestamp","manufacturer_name","racket_name","swing_type","impact_position","ball_speed[km/h]","ball_spin","swing_speed[km/h]","tag_id","video_filename"
"2016-11-05 12:47:53","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","18","76","4","75","",""
"2016-11-05 12:48:00","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","87","5","106","",""
"2016-11-05 12:48:01","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","14","69","4","91","",""
"2016-11-05 12:48:03","Wilson","BLADE 98 18x20","FOREHAND_VOLLEY","12","33","-3","33","",""
"2016-11-05 12:48:18","Wilson","BLADE 98 18x20","FOREHAND_VOLLEY","13","61","-2","46","",""
"2016-11-05 12:48:21","Wilson","BLADE 98 18x20","FOREHAND_VOLLEY","13","54","-2","51","",""
"2016-11-05 12:48:25","Wilson","BLADE 98 18x20","BACKHAND_SLICE","18","59","-7","56","",""
"2016-11-05 12:48:30","Wilson","BLADE 98 18x20","FOREHAND_SLICE","12","72","-5","65","",""
"2016-11-05 12:48:33","Wilson","BLADE 98 18x20","BACKHAND_VOLLEY","13","49","-3","46","",""
"2016-11-05 12:48:36","Wilson","BLADE 98 18x20","FOREHAND_SLICE","13","58","-4","50","",""
"2016-11-05 12:48:40","Wilson","BLADE 98 18x20","FOREHAND_VOLLEY","13","50","-3","47","",""
"2016-11-05 12:48:45","Wilson","BLADE 98 18x20","FOREHAND_SLICE","13","69","-4","56","",""
"2016-11-05 12:48:48","Wilson","BLADE 98 18x20","FOREHAND_VOLLEY","19","47","-2","38","",""
"2016-11-05 12:48:53","Wilson","BLADE 98 18x20","FOREHAND_SLICE","19","57","-3","46","",""
"2016-11-05 12:48:56","Wilson","BLADE 98 18x20","FOREHAND_VOLLEY","17","50","-2","51","",""
"2016-11-05 12:54:36","Wilson","BLADE 98 18x20","FOREHAND_SLICE","13","86","-2","73","",""
"2016-11-05 12:54:39","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","19","81","3","98","",""
"2016-11-05 12:54:42","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","19","91","3","84","",""
"2016-11-05 12:54:45","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","96","4","119","",""
"2016-11-05 12:54:56","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","18","94","4","114","",""
"2016-11-05 12:54:59","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","18","94","4","114","",""
"2016-11-05 12:55:01","Wilson","BLADE 98 18x20","BACKHAND_VOLLEY","14","46","-2","31","",""
"2016-11-05 12:55:14","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","93","5","115","",""
"2016-11-05 12:55:18","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","19","81","5","81","",""
"2016-11-05 12:55:28","Wilson","BLADE 98 18x20","FOREHAND_SLICE","18","92","-3","77","",""
"2016-11-05 12:55:32","Wilson","BLADE 98 18x20","BACKHAND_SLICE","13","75","-8","75","",""
"2016-11-05 12:55:35","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","12","98","2","88","",""
"2016-11-05 12:55:50","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","83","2","78","",""
"2016-11-05 12:55:53","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","101","5","123","",""
"2016-11-05 12:55:58","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","98","5","118","",""
"2016-11-05 12:56:06","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","92","4","107","",""
"2016-11-05 12:56:09","Wilson","BLADE 98 18x20","BACKHAND_SLICE","13","82","-8","80","",""
"2016-11-05 12:56:12","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","105","5","117","",""
"2016-11-05 12:56:25","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","13","84","4","82","",""
"2016-11-05 12:56:31","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","13","78","5","84","",""
"2016-11-05 12:56:36","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","10","97","5","122","",""
"2016-11-05 12:56:40","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","110","6","131","",""
"2016-11-05 12:56:48","Wilson","BLADE 98 18x20","FOREHAND_SLICE","19","92","-3","78","",""
"2016-11-05 12:56:52","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","19","81","5","78","",""
"2016-11-05 12:56:57","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","12","70","3","83","",""
"2016-11-05 12:57:00","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","10","80","4","109","",""
"2016-11-05 12:57:06","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","93","5","119","",""
"2016-11-05 12:57:10","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","7","96","5","119","",""
"2016-11-05 12:57:13","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","99","5","114","",""
"2016-11-05 12:57:16","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","14","87","4","84","",""
"2016-11-05 12:57:24","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","93","4","112","",""
"2016-11-05 12:57:28","Wilson","BLADE 98 18x20","BACKHAND_SLICE","13","68","-8","70","",""
"2016-11-05 12:57:32","Wilson","BLADE 98 18x20","BACKHAND_SLICE","13","58","-9","81","",""
"2016-11-05 12:57:35","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","94","5","122","",""
"2016-11-05 12:57:49","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","10","94","5","121","",""
"2016-11-05 12:57:53","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","18","93","5","119","",""
"2016-11-05 12:57:57","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","102","5","128","",""
"2016-11-05 12:58:01","Wilson","BLADE 98 18x20","BACKHAND_SLICE","13","64","-8","79","",""
"2016-11-05 12:58:03","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","12","86","4","85","",""
"2016-11-05 12:58:06","Wilson","BLADE 98 18x20","BACKHAND_VOLLEY","12","65","-3","60","",""
"2016-11-05 12:58:09","Wilson","BLADE 98 18x20","BACKHAND_SLICE","12","72","-8","74","",""
"2016-11-05 12:58:21","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","7","99","4","117","",""
